Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
BNA0860;Mercer Timber Product GmbH;;07929;Saalburg-Ebersdorf;Am bahnhof 123;Thueringen;;01.01.2009;in Betrieb;Biomasse;;;Biomasse;Ja;ja;12,80 ;DE00073007929VS501354600000871455;Mittelspannung (MS);TEN Thueringer Energienetze GmbH
BNA0513;EST Elektro-Spezial-Technik Inh. Steffen Stecher;;01917;Kamenz;;Sachsen;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,80 ;;USp. Hoch- / Mittelspannung (HS/MS);ENSO Netz GmbH
BNA0348;Ecomill Windpark GmbH & Co. Giersleben KG;;06449;Giersleben;;Sachsen-Anhalt;;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,80 ;;Mittelspannung (MS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1798;;BWP Rantrum III GmbH & Co. KG;25873;Rantrum;Flurstueck 13;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,70 ;;;
BNA1788;;WP Sillerup Repowering;24969;Lindewitt;Gemarkung Sillerup, Flur 15, Flurstueck 10/2;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,70 ;;;
BNA1643;;WP Goellheim;67307;Goellheim;;Rheinland-Pfalz;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,70 ;;Mittelspannung (MS);Pfalzwerke Netz AG
BNA1350;;;06388;Baasdorf;;Sachsen-Anhalt;;01.01.2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,70 ;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1349;;;01998;Klettwitz;Flurstueck 14, Flur 3, Gemarkung Meuro;Brandenburg;;01.01.2011;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,70 ;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1177;Solar Schipkau I GmbH & Co. KG;Solar Schipkau I GmbH & Co. KG;01998;Klettwitz;Flurstueck 14 Flur 3;Brandenburg;;01.01.2011;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,70 ;UW Brieske;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1973;Buergerwind Schoeppingen-Ramsberg GmbH ? Co. KG;Schoeppingen-Ramsberg;48624;Schoeppingen;;Nordrhein-Westfalen;;14.06.2019;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,60 ;;Hochspannung (HS);Westnetz GmbH
BNA1972;Windenergie Schoeppingen-Brook GmbH ? Co. KG;Schoeppingen-Brook;48624;Schoeppingen;;Nordrhein-Westfalen;;02.10.2019;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,60 ;;Hochspannung (HS);Westnetz GmbH
BNA1682;;Windpark Wahlsdorf;14913;Wahlsdorf;77;Brandenburg;;01.01.2016;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,60 ;;;
BNA1502;SWK ENERGIE GmbH;Heizkraftwerk Krefeld;47804;Krefeld;;Nordrhein-Westfalen;;01.03.2011;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;12,60 ;UA Frankenring;Mittelspannung (MS);SWK NETZE GmbH 
BNA1382;;;06198;Salzatal;Neutz-Lettewitz 2/14 2/15 2/16 2/17 2/18 2/19 2/20 2/21 2/22;Sachsen-Anhalt;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,60 ;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1300;Enercon Windpark GmbH & Co. Kutenholz KG;Windpark Kutenholz I;27449;Kutenholz;;Niedersachsen;;11.12.2003;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;nein;12,60 ;UW Bargstedt;Hochspannung (HS);Avacon AG
BNA1289;AMK - Abfallentsorgungsgesellschaft des Maerkischen Kreises mbH;AMK - Abfallentsorgungsgesellschaft des Maerkischen Kreises mbH;58636;Iserlohn;Giesestrasse 10;Nordrhein-Westfalen;;01.04.1981;in Betrieb;Abfall;Abfall;Erdgas, Heizoel EL;Abfall;Nein;Ja;12,60 ;10 kV Schaltanlage;USp. Mittel- / Niederspannung (MS/NS);Stadtwerke Iserlohn GmbH 
BNA1274;Uniper Kraftwerke GmbH;Ettling;94522;Wallersorf/Ettling;Kraftwerkstrasse 1;Bayern;Ettling;01.01.1988;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,60 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA1230;Uniper Kraftwerke GmbH;Pielweichs;94447;Plattling;An der Staustufe 1;Bayern;Pielweichs;01.01.1994;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,60 ;Schaltanlage vor Ort;Mittelspannung (MS);Bayernwerk AG
BNA1228;Uniper Kraftwerke GmbH;Landau;94431;Pilsting-Harburg;Stauseestrasse 1;Bayern;Landau;01.01.1984;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,60 ;Schaltanlage vor Ort;Mittelspannung (MS);Bayernwerk AG
BNA1209;LEW Wasserkraft GmbH;Meitingen;86405;Meitingen;;Bayern;;01.07.1922;in Betrieb;Laufwasser;;;Laufwasser;Ja;Nein;12,60 ;UW Meitingen;Mittelspannung (MS);LEW Verteilnetz GmbH
BNA1193;Stadtwerke Lemgo GmbH;HKW-West;32657;Lemgo ;Liemer Weg 71;Nordrhein-Westfalen;;01.10.2001;in Betrieb;Erdgas;;;Erdgas;Nein;ja;12,60 ;UW-Grevenmarsch;Mittelspannung (MS);Stadtwerke Lemgo
BNA0830;Solarkraftwerk Rentweinsdorf GmbH & Co. KG;;96184;Rentweinsdorf;;Bayern;;01.01.2010;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,60 ;;USp. Hoch- / Mittelspannung (HS/MS);Bayernwerk AG
BNA0732;Betreibergemeinschaft Windpark Vettweiss/Noervenich/Erp;;52388;Noervenich ;;Nordrhein-Westfalen;;01.01.2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,60 ;;USp. Hoch- / Mittelspannung (HS/MS);Westnetz GmbH
BNA0559;Windpark Kremsdorf GmbH ;;23758;Kremdorf;;Schleswig-Holstein;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,60 ;;Mittelspannung (MS);Schleswig-Holstein Netz AG 
BNA0277;MVV Energie AG;BMKW Floersheim Wicker;65439;Floersheim Wicker;Am Steinmuehlenweg 5;Hessen;;19.12.2003;in Betrieb;Biomasse;;;Biomasse;Ja;nein;12,60 ;;Mittelspannung (MS);Syna GmbH 
BNA0242;Danpower GmbH;;04910;Elsterwerda;;Brandenburg;;03.07.2004;in Betrieb;Biomasse;;;Biomasse;Ja;Ja;12,60 ;;Hochspannung (HS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1874;BMW AG;Speicherfarm Leipzig;04349;Leipzig;;Bayern;Speicherfarm Leipzig;01.01.2018;in Betrieb;Batteriespeicher;;;Batteriespeicher;Nein;Nein;12,50 ;UW Plaussig;Hochspannung (HS);Mitnetz
BNA1773;;Windpark Dobberkau II;39606;Bismark (Altmark);Gemarkung Dobberkau, Flur 2, Flurstueck 52/1;Sachsen-Anhalt;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,50 ;;;
BNA1765;;Windpark Schiffweiler;66538;Neunkirchen;Flur 11, Flurstueck 2/1;Saarland;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,50 ;;;
BNA1735;Windpark Obbach GmbH & Co. KG;Windpark Obbach;97502;Obbach;1102;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,50 ;;;
BNA1656;;WP-Muennerstadt;97702;Muennerstadt;;Bayern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,50 ;;USp. Hoch- / Mittelspannung (HS/MS);Bayernwerk AG
BNA1624;;Windpark Kraeft;92318;Neumarkt;;Bayern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,50 ;;Mittelspannung (MS);Stadtwerke Neumarkt i.d.OPf.
BNA1476;PROKON Regenerative Energien eG;WP Hohe Wuhne III;39443;Foerderstedt;Umspannwerk 0 c;Sachsen-Anhalt;;01.01.2011;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,50 ;UW Foerderstedt;Mittelspannung (MS);Avacon AG
BNA1438;ENGIE Deutschland AG;Helmstadt;97264;Helmstadt;;Bayern;WP Helmstadt;11.05.2012;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,50 ;;;Bayernwerk AG
BNA1291;IHKW Industrieheizkraftwerk Andernach GmbH;IHKW Andernach;56626;Andernach;Koblenzer Strasse 141;Rheinland-Pfalz;;14.01.2008;in Betrieb;Abfall;;;Abfall;Nein;Ja;12,50 ;;Mittelspannung (MS);ThyssenKrupp AG
BNA1196a;MVV Energie AG;BHKW Ludwigshafen;67065;Ludwigshafen;Giulinistrasse 2;Rheinland-Pfalz;BHKW ;12.06.2008;in Betrieb;Erdgas;;;Erdgas;Nein;Ja;12,50 ;20 kV Uebergabestationen;Mittelspannung (MS);MVV Netze GmbH
BNA1119;Zweckverband Abfallverwertung Suedostbayern;MHKW Burgkirchen;84508;Burgkirchen;Bruck 110;Bayern;;15.01.1994;in Betrieb;Abfall;;;Abfall;Nein;Nein;12,50 ;DE00754884504B007225Z0285XXXXFFFF;Mittelspannung (MS);InfraServ GmbH & Co. Gendorf KG
BNA1068;;;26409;Wittmund;;Niedersachsen;;01.01.1999;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,50 ;;USp. Hoch- / Mittelspannung (HS/MS);EWE NETZ GmbH
BNA0509;Windfarm Zettingen GmbH;;56759;Kaisersesch ;;Rheinland-Pfalz;;01.01.2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,50 ;;USp. Hoch- / Mittelspannung (HS/MS);Westnetz GmbH
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Deponiegas;;;Deponiegas;Ja;;12,50 ;;;
BNA1752;;Windpark Hassel;33165;Lichtenau;Gemarkung Grundsteinheim, Flur 1, Flurstueck 138;Nordrhein-Westfalen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,40 ;;;
BNA0500;Boehringer Ingelheim Pharma GmbH & Co. KG;;55218;Ingelheim;;Rheinland-Pfalz;;01.01.2004;in Betrieb;Biomasse;;;Biomasse;Ja;;12,40 ;;USp. Hoch- / Mittelspannung (HS/MS);Rheinhessische Energie- und Wasserversorgungs-GmbH
BNA0283;Mainova AG;BKF;60382;Frankfurt am Main;Alt Fechenheim 34;Hessen;;01.01.2004;in Betrieb;Mehrere Energietraeger;Biomasse;Mineraloelprodukte;Biomasse;Ja;Ja;12,40 ;UW Hanauer Landstrasse;10;NRM Netzdienste Rhein-Main GmbH
BNA0182;;;48653;Coesfeld;;Nordrhein-Westfalen;;01.01.2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,40 ;;Mittelspannung (MS);Stadtwerke Coesfeld GmbH
;EEG-Anlagen < 10 MW;;;;;Bremen;;01.01.1990;in Betrieb;Biomasse;;;Biomasse;Ja;;12,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Berlin;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,40 ;;;
BNA1839;Windpark Oberthal GmbH;Windpark Oberthal GmbH;;;;Saarland;;16.12.2013;In Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,30 ;UA Walhausen;Mittelspannung (MS);energis-Netzgesellschaft mbH
BNA1837;HSW Windpark Gross Niendorf GmbH & Co. KG;HSW Windpark Gross Niendorf ;89522;Gross Niendorf;Meeboldstr. 1;Schleswig-Holstein;;28.06.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,30 ;UW Bruehl;Mittelspannung (MS);WEMAG Netz GmbH
BNA1622;;Windpark Kohlenbek;25596;Bokelrehm;;Schleswig-Holstein;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,30 ;;Mittelspannung (MS);Schleswig-Holstein Netz AG
BNA1265;EnBW Energie Baden-Wuerttemberg AG;Tannheim;88459;Tannheim;;Baden-Wuerttemberg;Tannheim;01.12.1920;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,30 ;;Mittelspannung (MS);Netze BW GmbH
BNA1247;Uniper Kraftwerke GmbH;Unterbergen;86511;Schmiechen-Unterbergen;Lechfeldstrasse;Bayern;Unterbergen;01.01.1983;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,30 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA1221;LEW Wasserkraft GmbH;Oberpeiching;86698;Oberndorf;;Bayern;;28.03.1954;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,30 ;UW Oberpeiching;Mittelspannung (MS);LEW Verteilnetz GmbH
BNA1054;Windpark Wiemersdorf GmbH & Co. KG ;;24649;Wiemersdorf;;Schleswig-Holstein;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,30 ;;Mittelspannung (MS);Schleswig-Holstein Netz AG 
BNA0797;Heizkraftwerk Pforzheim GmbH;Heizkraftwerk Pforzheim GmbH;75175;Pforzheim;Hohwiesenweg 15;Baden-Wuerttemberg;Biomasse;09.12.2004;in Betrieb;Mehrere Energietraeger;Biomasse;"Erdgas; Klaergas";Biomasse;Ja;Ja;12,30 ;Hohwiesenweg;Hochspannung (HS);Stadtwerke Pforzheim GmbH und Co. KG
BNA0765;Windpark Osterrade GmbH ;;24796;Osterrade;;Schleswig-Holstein;;01.01.2001;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,30 ;;Mittelspannung (MS);Schleswig-Holstein Netz AG 
BNA0762;;;39387;Oschersleben;;Sachsen-Anhalt;;01.01.2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,30 ;;Mittelspannung (MS);Avacon AG
BNA0316;Winag Neue Energie GmbH & Co. Reinstedt KG;;06464;Frose;;Sachsen-Anhalt;;01.01.2010;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,30 ;;USp. Hoch- / Mittelspannung (HS/MS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1924;Windpark Hungerberg II GmbH & Co. KG;Windpark Hungerberg II;63067;Offenbach;Andréstrasse 71;Hessen;;18.11.2013;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;Hochspannung (HS);Pfalzwerke Netz AG
BNA1923;Windpark Hungerberg I GmbH & Co. KG;Windpark Hungerberg I;63067;Offenbach;Andréstrasse 71;Hessen;;18.11.2013;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;Hochspannung (HS);Pfalzwerke Netz AG
BNA1900;innogy SE;Windpark Rheinhessen I;55425;Waldalgesheim;Flurstueck 18;Rheinland-Pfalz;;12.11.2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;Westnetz GmbH
BNA1799;;WP Beidenfleth;25573;Beidenfleth;57;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1766;;Weiskirchen-Schimmelkopf;66709;Weiskirchen;Gemarkung Weiskirchen, Flur 9, Flurstueck 1;Saarland;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1753;;WP Huser Klee;33165;Lichtenau;"Gemarkung: Husen; Flur: 8; Flurstueck: 19;";Nordrhein-Westfalen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1703;;Windpark Neudersum;26906;Dersum;Gemarkung Neudersum, Flur 001, Flurstueck 57;Niedersachsen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1702;;Windpark Moosmoor;;;Gem. Wittstedt, Flur 8, Flurstueck 24/1;Niedersachsen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1690;;Repowering Windpark Egglingen;26409;Wittmund;Flurstueck 12/5 u. 12/6 der Flur 13, Gemarkung Eggelingen;Niedersachsen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;;
BNA1638;;Windpark Zedtwitz;95183;Gemeinde Feilitzsch;;Bayern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,20 ;;Hochspannung (HS);Bayernwerk AG
BNA1628;;Windpark Roedeser Berg;34466;Wolfhagen;;Hessen;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,20 ;;Mittelspannung (MS);Stadtwerke Wolfhagen GmbH
BNA1607;;Windpark Galgenberg;67753;Rothselberg;;Rheinland-Pfalz;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,20 ;;Mittelspannung (MS);Pfalzwerke Netz AG
BNA1606;;Windpark Englmannsberg;86558;Hohenwart;;Bayern;;01.01.2014;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,20 ;;Mittelspannung (MS);Bayernwerk AG
BNA1333a;Universitaet Stuttgart;HKW Pfaffenwald;70569;Stuttgart;Pfaffenwaldring 8;Baden-Wuerttemberg;Anlage 40;01.07.1988;in Betrieb;Mehrere Energietraeger;Erdgas H;Heizoel EL;Erdgas;Nein;Ja;12,20 ;UW Allmand;Mittelspannung (MS);Netze BW GmbH
BNA1246;Uniper Kraftwerke GmbH;Scheuring;86937;Scheuring;Lechau;Bayern;Scheuring;01.01.1980;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,20 ;Schaltanlage vor Ort;Hochspannung (HS);Bayernwerk AG
BNA0506;Windpark Jever GbR;;26441;Jever;;Niedersachsen;;01.01.2002;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;Mittelspannung (MS);EWE NETZ GmbH
BNA0406;;;21039;Hamburg;;Schleswig-Holstein;;01.01.1995;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,20 ;;Mittelspannung (MS);Stromnetz Hamburg GmbH
BNA0059a;Volkswagen AG;HKW Kassel;34225;Baunatal;;Hessen;Turbine 1;01.01.1990;Endgueltig Stillgelegt 2013 (ohne StA);Erdgas;;;Erdgas;Nein;Ja;12,20 ;Anlage A;Mittelspannung (MS);VW Kraftwerk GmbH
BNA1888;STAWAG Energie GmbH;Windpark Aachen Nord GmbH & Co. KG;52074;Aachen;;Nordrhein-Westfalen;;08.06.2017;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,10 ;;;
BNA1383;;;04603;Nobitz;Am Flughafen 1;Thueringen;;01.01.2012;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,10 ;;;Mitteldeutsche Netzgesellschaft Strom mbH
BNA1286;Zweckverband fuer Abfallwirtschaft Suedwestthueringen (ZASt);Restabfallbehandlungsanlage;98544;Zella-Mehlis;;Thueringen;1;15.10.2007;in Betrieb;Abfall;Abfall;Heizoel;Abfall;Nein;Ja;12,10 ;Station RABA;Mittelspannung (MS);Stadtwerke Suhl/Zella-Mehlis Netz GmbH
BNA1234;Uniper Kraftwerke GmbH;Prittriching;86931;Prittriching;Lechstrasse;Bayern;Prittriching;01.01.1984;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,10 ;Schaltanlage vor Ort;Mittelspannung (MS);Bayernwerk AG
BNA1143;innogy SE;Serrig;54450;Freudenburg;;Rheinland-Pfalz;;01.01.1985;in Betrieb;Laufwasser;;;Laufwasser;Nein;Nein;12,10 ;;Mittelspannung (MS);Westnetz GmbH
BNA0807;Solarpark Pocking 2 GmbH;;94060;Pocking;;Bayern;;01.01.2009;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;12,10 ;;Mittelspannung (MS);Bayernwerk AG
BNA0385;Pfleiderer Guetersloh GmbH;KWK Guetersloh;33332;Guetersloh;Stadtring Nordhorn 61;Nordrhein-Westfalen;;07.09.2000;in Betrieb;Biomasse;Holz;;Biomasse;Ja;Ja;12,10 ;Schaltanlage KWK;10;Netzgesellschaft Guetersloh mbH 
BNA1966;Windpark Oestliches Herberger Feld GmbH ? Co. KG;Windpark Oestliches Herberger Feld GmbH ? Co. KG;49637;Menslage;;Niedersachsen;;20.08.2019;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;Mittelspannung (MS);EWE Netz GmbH
BNA1932;Windpark Domnitz GmbH & Co. KG;Windpark Domnitz;06193;Domnitz;Flur 115, 126;Sachsen-Anhalt;;14.04.2009;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;50081125616;USp. Hoch- / Mittelspannung (HS/MS);Mitteldeutsche Netzgesellschaft Strom mbH
BNA1906;STEAG New Energies GmbH;ENNI RMI Windpark Kohlenhuck Projektgesellschaft mbH;47441;Moers;;Nordrhein-Westfalen;;27.03.2017;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;Nein;12,00 ;Friedrichstrasse 99, Kamp-Lintfort;Mittelspannung (MS);Westnetz
BNA1869;EnBW Energie Baden-Wuerttemberg AG;"Vorarlberger Illwerke AG ""Rellswerk""";A-6773;Vandans;;Oesterreich;REW;01.07.2017;in Betrieb;Pumpspeicher;;;Pumpspeicher;Nein;Nein;12,00 ;;Hoechstspannung (HoeS);Transnet BW GmbH
BNA1800;;Buergerwindpark Osterstedt GmbH & Co. KG;25590;Osterstedt;Flur 4, Flurstueck 15/1;Schleswig-Holstein;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1778;;Reinstedt;54421;Reinstedt;Gemarkung Reinstedt Flur 4 Flurstuecke 173, 176, 179;Sachsen-Anhalt;;01.01.2010;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1777;;Mittelhausen;06542;Mittelhausen;Flur:  Flurstueck:;Sachsen-Anhalt;;01.01.2010;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1755;;Windpark Kittelbusch;33181;Bad Wuennenberg;"Gemarkung:Helmern; Flur 6; Flurstueck: 1";Nordrhein-Westfalen;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1754;;Buergerwindpark Wettringen Stroenfeld;48493;Wettringen;Flur 30, Flurstueck 61;Nordrhein-Westfalen;;01.01.2016;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1734;;Windpark Werneck-Essleben;97440;Werneck-Essleben;2674;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1732;;Windpark Korbersdorf-Seussen;95659;Arzberg;FlSt. 519, Gemarkung Korbersdorf-Seussen;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1731;;OSTWINDpark Rotmainquelle;95503;Hummental;Fl.-Nr. 28/8 Lindenhardter Forst-Nordwest;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1727;LHI Green Infrastructure Wind Deutschland III GmbH & Co. KG;Windpark Velburg;92355;Velburg;149, Gemarkung Mantlach;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1725;Onshore Wind Gesater Wald GmbH & Co. KG;WP Gesater Wald;91564;Neuendettelsau;Flur 663 Gemarkung Haag;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1723;;Windpark Lonnerstadt;91475;Lonnerstadt;Flurstuecknummer: 1727 Gemarkung Lonnerstadt;Bayern;;01.12.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;Schalthaus Hoechstadt;Mittelspannung (MS);Bayernwerk AG
BNA1720;;Windpark Berg;82335;Berg;19;Bayern;;01.01.2015;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
BNA1696;Dortmunder Energie- und Wasserversorgung GmbH;Windpark Horst;29640;Schneverdingen/Horst;"Gemarkung Wesseloh; Flur 1; Flurstueck 127/50";Niedersachsen;;30.03.2016;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;12,00 ;;;
